id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18173585,Bed and breakfast in Block Island · ★5.0 · 1 bedroom · 1 bed · 1 private bath,122050777,Ann,Washington,New Shoreham,41.17382,-71.5595,Private room,287,2,3,2023-08-20,0.04,18,198,1,
18225129,Home in Newport · ★4.87 · 1 bedroom · 1 bed · 1 private bath,31394402,Keith And Aoife,Newport,Newport,41.49949,-71.30416,Private room,99,2,117,2023-11-05,1.45,1,279,53,RE.02764-STR
18226140,Rental unit in Newport · ★4.91 · 2 bedrooms · 3 beds · 2 baths,4909665,W R G,Newport,Newport,41.48057,-71.31295,Entire home/apt,305,28,82,2023-05-01,1.01,17,0,1,RE.01572-STR
18237911,Rental unit in Middletown · ★4.90 · 2 bedrooms · 2 beds · 1 bath,92481253,Patricia & Mitch,Newport,Middletown,41.4946,-71.27925,Entire home/apt,189,2,170,2023-10-30,2.10,1,325,22,
18265942,Cottage in Westerly · ★4.69 · 4 bedrooms · 6 beds · 1.5 baths,126264640,Michele,Washington,Westerly,41.32242,-71.81711,Entire home/apt,200,7,13,2023-06-24,0.17,1,330,1,STR-22-251
18292344,Rental unit in Newport · 2 bedrooms · 3 beds · 2 baths,126500514,Travis,Newport,Newport,41.49127,-71.32024,Entire home/apt,364,7,0,,,1,14,0,
18307096,Home in Newport · ★4.98 · 2 bedrooms · 1 bed · 1 private bath,126610835,Rachel,Newport,Newport,41.48329,-71.29953,Private room,650,2,46,2023-07-16,0.58,2,28,2,
18307752,Bed and breakfast in Newport · ★4.90 · 1 bedroom · 1 bed · 1 private bath,126610835,Rachel,Newport,Newport,41.48451,-71.30113,Private room,343,2,70,2023-10-08,0.87,2,28,9,
18322999,Home in Westerly · ★5.0 · 4 bedrooms · 5 beds · 2.5 baths,2699292,Eric,Washington,Westerly,41.33865,-71.75113,Entire home/apt,511,3,13,2023-10-09,0.18,1,91,1,RE.01740-STR
18358144,Cottage in Westerly · ★4.86 · 2 bedrooms · 5 beds · 2 baths,127077284,Lisa,Washington,Westerly,41.32322,-71.84005,Entire home/apt,500,4,7,2022-07-31,0.09,1,358,0,
